nr,namn,position,femma,s,m,a,p,u,player_id,name,href
9,Axel FjällborgK,Forward,,7,0,0,0,-,9,Axel FjällborgK,/spelare/540412
10,Hilding Sparreus Näslund,Forward,,7,0,0,0,-,10,Hilding Sparreus Näslund,/spelare/590335
11,Filip Bengtsson,Forward,,2,0,0,0,-,11,Filip Bengtsson,/spelare/608251
11,Hugo Ramsfeldt,Back,,6,0,0,0,-,11,Hugo Ramsfeldt,/spelare/540414
12,Hampus Åhström,Forward,,5,0,0,0,-,12,Hampus Åhström,/spelare/584323
14,Elias Seuffert,Back,,7,0,0,0,2 min,14,Elias Seuffert,/spelare/504796
16,Max Hidefjäll,Forward,,3,0,0,0,-,16,Max Hidefjäll,/spelare/540419
20,Otto Wikman,Back,,2,0,0,0,-,20,Otto Wikman,/spelare/504803
21,Alexander Jansson,Forward,,5,0,0,0,-,21,Alexander Jansson,/spelare/553242
21,Arne Hed,Back,,7,0,0,0,-,21,Arne Hed,/spelare/588196
22,Felix Westlund,Forward,,7,0,0,0,-,22,Felix Westlund,/spelare/621047
24,Erik Rosenqvist,Forward,,2,0,0,0,-,24,Erik Rosenqvist,/spelare/629870
25,Wilhelm Carlsson,Forward,,4,0,0,0,-,25,Wilhelm Carlsson,/spelare/761045
32,Axel Klingberg,Forward,,4,0,0,0,-,32,Axel Klingberg,/spelare/555232
33,Albert Stenström,Målvakt,,6,0,0,0,-,33,Albert Stenström,/spelare/530188
35,Jakub Kochanowicz,Forward,,3,0,0,0,-,35,Jakub Kochanowicz,/spelare/642567
36,Leo Engholm,Back,,5,0,0,0,-,36,Leo Engholm,/spelare/608253
38,Anton Kjell,Forward,,6,0,0,0,-,38,Anton Kjell,/spelare/711158
55,Hugo Müllern-Aspegren,Back,,2,0,0,0,-,55,Hugo Müllern-Aspegren,/spelare/608746
88,Rasmus Lundqvist,Målvakt,,6,0,0,0,-,88,Rasmus Lundqvist,/spelare/607672
